"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","A120356-ND","1-2199300-2","CONN IC DIP SOCKET 32POS TINLEAD","","1","0","0.45000","0.45"
"2","2","ED3045-5-ND","ED14DT","CONN IC DIP SOCKET 14POS TIN","","2","0","0.22000","0.44"
"3","1","296-1626-ND","SN74LS00N","IC GATE NAND 4CH 2-INP 14DIP","","1","0","0.87000","0.87"
"4","1","296-1627-5-ND","SN74LS02N","IC GATE NOR 4CH 2-INP 14DIP","","1","0","0.84000","0.84"
"5","1","296-1644-5-ND","SN74LS151N","IC MULTIPLEXER 1 X 8:1 16DIP","","1","0","1.13000","1.13"
"6","1","ED3046-5-ND","ED16DT","CONN IC DIP SOCKET 16POS TIN","","1","0","0.31000","0.31"
"7","1","296-1655-5-ND","SN74LS245N","IC TXRX NON-INVERT 5.25V 20DIP","","0","1","1.24000","1.24"
"8","1","A120351-ND","1-2199298-6","CONN IC DIP SOCKET 20POS TIN","","1","0","0.47000","0.47"
"9","5","399-9877-1-ND","C322C104K5R5TA7301","CAP CER 0.1UF 50V X7R RADIAL","","5","0","0.31000","1.55"
"10","2","13-CFR-25JR-52-10KCT-ND","CFR-25JR-52-10K","RES 10K OHM 5% 1/4W AXIAL","","2","0","0.10000","0.20"
"11","2","399-18276-1-ND","ESK476M035AC3EA","CAP ALUM 47UF 20% 35V RADIAL","","2","0","0.19000","0.38"
"12","1","CKN3007-ND","BD08","SWITCH SLIDE DIP SPST 100MA 5V","","1","0","2.05000","2.05"
"13","1","738-RSMF1JT460RCT-ND","RSMF1JT460R","RES 460 OHM 5% 1W AXIAL","","0","1","0.22000","0.22"
"14","1","4609X-101-103LF-ND","4609X-101-103LF","RES ARRAY 8 RES 10K OHM 9SIP","","1","0","0.50000","0.50"
"15","1","1450-1027-ND","AS6C4008-55PCN","IC SRAM 4MBIT PARALLEL 32DIP","","1","0","6.82000","6.82"
"16","2","S1012EC-40-ND","PREC040SAAN-RC","CONN HEADER VERT 40POS 2.54MM","","2","0","0.51000","1.02"